Date,Close,High,Low,Open,Volume
,TCS.NS,TCS.NS,TCS.NS,TCS.NS,TCS.NS
2024-07-01,3915.11083984375,3938.238160206123,3822.4047781896293,3822.4047781896293,2658723
2024-07-02,3953.689208984375,3959.5940568537812,3919.392028437567,3930.266837984165,2307449
2024-07-03,3902.3662109375,3962.2513039394535,3892.2787628164206,3956.2479460232644,1821198
2024-07-04,3957.182861328125,3983.1643354755647,3918.9491164757837,3936.417624326299,2518001
2024-07-05,3948.177978515625,3962.8908423867747,3924.7553683338815,3946.406476183266,1668616
2024-07-08,3929.873046875,3967.3196719251787,3914.9634020759663,3958.216364770994,1758882
2024-07-09,3922.294921875,3943.404703472268,3912.059949060827,3921.802851253764,1305801
2024-07-10,3847.156005859375,3939.8130567651842,3840.119491417559,3920.523790480342,2669716
2024-07-11,3861.47509765625,3916.882299851134,3833.820871811084,3868.659377064022,4872189
2024-07-12,4117.59814453125,4133.3444051789775,3908.320354948728,3916.8823361221557,13509164
2024-07-15,4103.08203125,4172.759041904442,4091.1243302256744,4168.527426600624,4848030
2024-07-16,4112.18505859375,4128.029347750371,4079.16683245519,4105.837155531789,2029521
2024-07-18,4247.11083984375,4256.4111674420465,4094.0278512274945,4094.0278512274945,5613364
2024-07-19,4244.00341796875,4299.588675611983,4227.086291291368,4258.799822932141,3903354
2024-07-22,4229.15771484375,4261.315330006309,4207.110976001006,4241.586790845695,1896386
2024-07-23,4243.95458984375,4302.499132625875,4208.393605070966,4224.8671297584115,2365208
2024-07-24,4247.80126953125,4280.205492817971,4210.16917580509,4229.305763277848,1809793
2024-07-25,4263.83056640625,4284.052319237096,4216.186336544361,4236.703824803897,2810342
2024-07-26,4328.2939453125,4362.424416923816,4278.183163133731,4290.957585849686,3552210
2024-07-29,4321.6357421875,4370.858356757703,4311.672732427877,4355.075523603084,1746803
2024-07-30,4306.099609375,4338.30635765025,4268.56576947123,4331.5001070351855,1797906
2024-07-31,4325.82763671875,4354.088673258141,4286.025211895475,4290.957346776827,2330091
2024-08-01,4337.41796875,4359.316357697218,4305.802696516272,4339.686558037175,2202244
2024-08-02,4224.916015625,4338.305993169386,4212.043335796562,4305.753901815455,2811282
2024-08-05,4098.65380859375,4181.464557904526,4054.7086730989754,4181.464557904526,2787771
2024-08-06,4114.58447265625,4200.452749877146,4104.325246589068,4114.3378659075925,2203067
