Date,Close,High,Low,Open,Volume,Return,MA10,MA50
,TCS.NS,TCS.NS,TCS.NS,TCS.NS,TCS.NS,,,
2024-09-10,4446.6650390625,4478.329442027619,4380.179955731091,4382.152809727,1385591,0.013102470221355134,4436.391357421875,4237.44375
2024-09-11,4418.55224609375,4487.602141833848,4410.562090398769,4460.080922576779,1325919,-0.006322219623423053,4433.757666015625,4247.512578125
2024-09-12,4456.38134765625,4471.079013286095,4371.153671501253,4449.032274014429,2742216,0.008561424524501815,4434.3396484375,4257.566420898437
2024-09-13,4461.21533203125,4485.284057119814,4443.85411861112,4468.514796294867,1458786,0.0010847331047065811,4431.266943359375,4268.743403320313
2024-09-16,4451.99169921875,4484.346312458599,4433.447064107537,4465.555070595088,1155120,-0.0020675157162387547,4430.49755859375,4278.639580078125
2024-09-17,4444.49462890625,4474.235306041227,4405.38289545537,4451.991570289733,1699364,-0.0016839811974077579,4429.83662109375,4288.565913085938
2024-09-18,4287.15966796875,4436.011407960433,4262.3511249124385,4436.011407960433,2961779,-0.03539996649207755,4416.707275390625,4295.711645507812
2024-09-19,4237.837890625,4362.1772921379525,4223.682568077095,4330.463281527035,2927551,-0.011504534741790584,4398.971240234375,4302.022504882812
2024-09-20,4226.74072265625,4271.9193657547075,4170.119912312439,4258.306384913849,5447908,-0.002618591898783884,4382.019482421875,4309.61419921875
2024-09-23,4210.56396484375,4250.908735834548,4195.274345198657,4241.636417670874,1702319,-0.00382724157310832,4364.16025390625,4316.5959765625
2024-09-24,4213.3251953125,4232.757998688101,4182.450224758226,4193.942002276157,3012026,0.000655786372515621,4340.82626953125,4318.510517578125
2024-09-25,4216.728515625,4231.37705185447,4182.4501798350775,4194.632648741532,2713073,0.0008077516343354407,4320.643896484375,4320.783447265625
2024-09-26,4234.23828125,4258.208266860882,4202.179400844496,4202.179400844496,3964251,0.004152452679871965,4298.42958984375,4323.22451171875
2024-09-27,4250.21826171875,4318.577461028275,4241.685282736974,4276.1610994877965,3012477,0.0037739917801773437,4277.3298828125,4323.28666015625
2024-09-30,4210.56396484375,4240.403383828528,4202.2284634079515,4228.7141266723165,2503416,-0.009329943648344385,4253.187109375,4322.61787109375
2024-10-01,4229.7001953125,4237.443743516998,4185.360591091469,4197.789185846018,1823365,0.004544814098189409,4231.707666015625,4322.628720703125
2024-10-03,4175.298828125,4220.921076261739,4152.857614176658,4204.743770009958,3350119,-0.012861754894067823,4220.52158203125,4321.25560546875
2024-10-04,4194.5341796875,4239.663214603298,4166.716745831977,4167.65404413656,2965463,0.004606940090833733,4216.1912109375,4320.190263671875
2024-10-07,4214.85546875,4238.924195590414,4171.9950151544945,4215.891024626546,1472619,0.004844706990565939,4215.002685546875,4319.21076171875
2024-10-08,4195.52099609375,4221.315968016163,4146.8903335016785,4214.608456504791,1541867,-0.004587220795493563,4213.498388671875,4316.555302734375
2024-10-09,4195.22509765625,4236.704162276141,4189.059928619177,4202.179215668535,1082504,-7.052722123790378e-05,4211.68837890625,4314.02708984375
2024-10-10,4170.021484375,4235.569752458276,4141.612578885341,4195.520719150492,2378875,-0.006007690337124116,4207.01767578125,4311.30552734375
2024-10-11,4092.88330078125,4184.374409495726,4056.6321067623066,4086.767260421283,5759183,-0.01849827006474314,4192.882177734375,4306.646640625
2024-10-14,4080.5029296875,4108.86270438394,4066.2493493106026,4083.807556287233,2137590,-0.0030248531863557027,4175.91064453125,4301.50833984375
2024-10-15,4060.922607421875,4113.3515894279,4039.418690813627,4074.9791926096877,2759474,-0.0047985070965564924,4160.946508789062,4298.228471679688
2024-10-16,4039.369140625,4059.1470498717727,4011.995791746764,4029.5542402736796,2359151,-0.005307529564213653,4141.913403320313,4297.042778320312
2024-10-17,4053.228515625,4073.894353796949,4037.3963142165476,4056.976745538161,2522659,0.0034310741399226075,4129.706372070313,4295.815659179688
2024-10-18,4077.009765625,4099.851916021619,4034.440676617236,4044.3290116089447,2361000,0.00586723642852216,4117.953930664063,4294.487104492187
2024-10-21,4034.29248046875,4093.7214708106585,4024.552373858137,4086.4534479677714,1595450,-0.010477601872926012,4099.897631835937,4292.854633789062
2024-10-22,3970.660888671875,4044.1312654389644,3961.6131587823234,4020.5969800373164,1928049,-0.015772676895623006,4077.41162109375,4288.840791015625
2024-10-23,4020.84423828125,4067.61586991963,3950.5380795348947,3954.938581762129,1966476,0.012638538272695676,4059.97353515625,4286.483623046875
2024-10-24,4002.698974609375,4033.451792614298,3959.289281105087,3959.289281105087,2676744,-0.004512799451199645,4043.2412841796877,4283.737905273438
2024-10-25,4012.241455078125,4046.30672120026,3987.668845799296,4011.747038323335,1759676,0.0023840115205469026,4035.177099609375,4279.243720703125
2024-10-28,4045.169677734375,4087.8377473021505,4005.7645656315945,4023.5140789268585,1532534,0.008206939443929473,4031.6437744140626,4273.024897460938
2024-10-29,4029.74365234375,4057.678198243685,4014.7629216392893,4050.113718663101,1445885,-0.003813443345908052,4028.52587890625,4265.038627929687
2024-10-30,4039.038818359375,4061.139344520973,4014.7136581495483,4029.4966712741575,1935002,0.00230663953281951,4028.4928466796873,4256.58130859375
2024-10-31,3924.13623046875,4032.7596863362296,3915.780635728427,4024.5523200542166,3740372,-0.02844800286848881,4015.5836181640625,4245.269580078125
2024-11-01,3939.71044921875,3954.295743591058,3931.651552622875,3945.297503437141,154895,0.003968827236188854,4001.8536865234373,4235.2458984375
2024-11-04,3919.88427734375,3947.3244073529545,3869.552748054801,3922.0104142471764,2269192,-0.005032393149332015,3990.4128662109374,4225.577353515625
